City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,villa gesell,-37.2639,-56.973,48.06,94,100,13.06,AR,1723084706
84,kununurra,-15.7667,128.7333,87.78,27,2,13.8,AU,1723084410
85,college,64.8569,-147.8028,77.32,55,98,3.38,US,1723084833
86,san luis de la loma,17.2706,-100.8939,81.59,84,100,8.95,MX,1723084356
87,kodiak,57.79,-152.4072,60.31,77,40,4.61,US,1723084871
88,pangkalanbuun,-2.6833,111.6167,86.32,63,57,4.38,ID,1723084964
89,vorgashor,67.5833,63.95,51.85,59,26,3.8,RU,1723084375
90,cameta,-2.2444,-49.4958,78.78,73,13,6.08,BR,1723084966
91,olonkinbyen,70.9221,-8.7187,41.68,100,100,8.81,SJ,1723084967
92,callao,-12.0667,-77.15,61.72,77,100,6.91,PE,1723084968
93,yellowknife,62.456,-114.3525,70.32,37,20,11.5,CA,1723084794
94,port elizabeth,-33.918,25.5701,57.49,95,20,11.5,ZA,1723084971
95,puerto ayora,-0.7393,-90.3518,66.54,97,86,7.0,EC,1723084275
96,tazovsky,67.4667,78.7,49.37,70,52,12.3,RU,1723084764
97,nantucket,41.2835,-70.0995,64.54,90,0,5.75,US,1723084969
98,dudinka,69.4058,86.1778,56.91,49,10,21.88,RU,1723084367
99,pathein,16.7833,94.7333,79.3,89,100,3.87,MM,1723084976
100,stellenbosch,-33.9346,18.8668,55.6,86,32,7.74,ZA,1723084977
101,margaret river,-33.95,115.0667,59.29,65,100,13.6,AU,1723084835
102,mitsamiouli,-11.3847,43.2844,76.12,69,33,6.46,KM,1723084980
103,bulungu,-4.55,18.6,73.2,45,31,2.57,CD,1723084981
104,warmbad,-28.45,18.7333,48.33,62,2,4.27,NA,1723084983
105,lihue,21.9789,-159.3672,83.79,63,20,14.97,US,1723084985
106,utrik,11.2278,169.8474,82.65,78,20,13.27,MH,1723084829
107,ryotsu-minato,38.0833,138.4333,80.49,70,1,3.18,JP,1723084987
108,recani,31.2846,-4.2688,90.16,14,56,7.0,MA,1723084988
109,praia,14.9215,-23.5087,77.54,83,75,17.27,CV,1723084989
110,kayangel,8.0823,134.7173,83.98,75,93,12.03,PW,1723084990
111,la passe,45.5549,-0.8967,62.83,84,84,7.25,FR,1723084992
112,tarrafal de sao nicolau,16.5667,-24.3667,75.58,75,100,12.37,CV,1723084993
113,manbij,36.5281,37.9549,77.59,69,0,13.47,SY,1723084994
114,zhangye,38.9342,100.4517,79.7,27,100,28.32,CN,1723084995
115,sabang,5.8933,95.3214,83.95,74,100,8.84,ID,1723084996
116,port alfred,-33.5906,26.891,58.91,70,0,9.33,ZA,1723084932
117,kasaragod,12.5,75.0,75.83,90,100,2.26,IN,1723084754
118,port blair,11.6667,92.75,86.04,79,75,9.22,IN,1723085000
119,rapar,23.5667,70.6333,82.63,75,95,16.58,IN,1723085001
120,biltine,14.5333,20.9167,76.19,81,100,5.53,TD,1723085002
121,manokwari,-0.8667,134.0833,84.09,67,43,6.53,ID,1723085003
122,fale old settlement,-9.3852,-171.2468,81.95,73,94,19.55,TK,1723084447
123,fortaleza,-3.7227,-38.5247,80.22,83,75,13.8,BR,1723085006
124,taltal,-25.4,-70.4833,58.39,60,0,5.14,CL,1723085007
125,constantia,44.1833,28.65,63.7,75,0,3.18,RO,1723085008
126,carnarvon,-24.8667,113.6333,68.94,56,4,8.86,AU,1723085009
127,whitehorse,60.7161,-135.0538,82.02,30,0,12.66,CA,1723084871
128,meulaboh,4.1363,96.1285,79.66,82,94,3.71,ID,1723085011
129,trinity beach,-16.7888,145.6968,79.81,72,100,13.15,AU,1723085013
130,opuwo,-18.0607,13.84,60.91,35,0,4.0,NA,1723085014
131,kotputli,27.7167,76.2,80.02,83,100,5.7,IN,1723085015
132,inari,68.906,27.0288,44.8,62,2,4.47,FI,1723085016
133,ruayer,43.0537,-5.5502,60.58,86,33,0.89,ES,1723085017
134,labrador city,52.9463,-66.9114,48.18,85,75,11.01,CA,1723084844
135,enewetak,11.3474,162.3373,83.84,75,87,10.78,MH,1723085020
136,liezen,47.5667,14.2333,61.66,95,100,3.6,AT,1723084814
137,george town,5.4112,100.3354,85.93,69,20,6.91,MY,1723084887
138,rabo de peixe,37.8,-25.5833,72.91,88,75,8.05,PT,1723085023
139,nemuro,43.3236,145.575,63.28,100,100,5.19,JP,1723085024
140,koraput,18.8167,82.7167,69.4,95,100,6.46,IN,1723085025
141,dakhla,23.6848,-15.958,67.35,88,11,20.13,EH,1723084838
